stem,filename,label,tissue,local_cluster_label,group_id
colonca1021,colonca1021.jpeg,colon_aca,colon,0,0
colonca1078,colonca1078.jpeg,colon_aca,colon,0,0
colonca1139,colonca1139.jpeg,colon_aca,colon,0,0
colonca1256,colonca1256.jpeg,colon_aca,colon,0,0
colonca1496,colonca1496.jpeg,colon_aca,colon,0,0
colonca1547,colonca1547.jpeg,colon_aca,colon,0,0
colonca1674,colonca1674.jpeg,colon_aca,colon,0,0
colonca1972,colonca1972.jpeg,colon_aca,colon,0,0
colonca2209,colonca2209.jpeg,colon_aca,colon,0,0
colonca2387,colonca2387.jpeg,colon_aca,colon,0,0
colonca2684,colonca2684.jpeg,colon_aca,colon,0,0
colonca3264,colonca3264.jpeg,colon_aca,colon,0,0
colonca3443,colonca3443.jpeg,colon_aca,colon,0,0
colonca3622,colonca3622.jpeg,colon_aca,colon,0,0
colonca3916,colonca3916.jpeg,colon_aca,colon,0,0
colonca3917,colonca3917.jpeg,colon_aca,colon,0,0
colonca4910,colonca4910.jpeg,colon_aca,colon,0,0
colonca69,colonca69.jpeg,colon_aca,colon,0,0
colonca70,colonca70.jpeg,colon_aca,colon,0,0
colonca728,colonca728.jpeg,colon_aca,colon,0,0
colonca790,colonca790.jpeg,colon_aca,colon,0,0
colonca791,colonca791.jpeg,colon_aca,colon,0,0
colonca962,colonca962.jpeg,colon_aca,colon,0,0
colonca1207,colonca1207.jpeg,colon_aca,colon,1,1
colonca1208,colonca1208.jpeg,colon_aca,colon,1,1
colonca1268,colonca1268.jpeg,colon_aca,colon,1,1
colonca1738,colonca1738.jpeg,colon_aca,colon,1,1
colonca1915,colonca1915.jpeg,colon_aca,colon,1,1
colonca2513,colonca2513.jpeg,colon_aca,colon,1,1
colonca3158,colonca3158.jpeg,colon_aca,colon,1,1
colonca3269,colonca3269.jpeg,colon_aca,colon,1,1
colonca3626,colonca3626.jpeg,colon_aca,colon,1,1
colonca3807,colonca3807.jpeg,colon_aca,colon,1,1
colonca3808,colonca3808.jpeg,colon_aca,colon,1,1
colonca4040,colonca4040.jpeg,colon_aca,colon,1,1
colonca4101,colonca4101.jpeg,colon_aca,colon,1,1
colonca4156,colonca4156.jpeg,colon_aca,colon,1,1
colonca4157,colonca4157.jpeg,colon_aca,colon,1,1
colonca4282,colonca4282.jpeg,colon_aca,colon,1,1
colonca4506,colonca4506.jpeg,colon_aca,colon,1,1
colonca4621,colonca4621.jpeg,colon_aca,colon,1,1
colonca1093,colonca1093.jpeg,colon_aca,colon,2,2
colonca1094,colonca1094.jpeg,colon_aca,colon,2,2
colonca1278,colonca1278.jpeg,colon_aca,colon,2,2
colonca1445,colonca1445.jpeg,colon_aca,colon,2,2
colonca1753,colonca1753.jpeg,colon_aca,colon,2,2
colonca1809,colonca1809.jpeg,colon_aca,colon,2,2
colonca2225,colonca2225.jpeg,colon_aca,colon,2,2
colonca3165,colonca3165.jpeg,colon_aca,colon,2,2
colonca3339,colonca3339.jpeg,colon_aca,colon,2,2
colonca3522,colonca3522.jpeg,colon_aca,colon,2,2
colonca3583,colonca3583.jpeg,colon_aca,colon,2,2
colonca3696,colonca3696.jpeg,colon_aca,colon,2,2
colonca3697,colonca3697.jpeg,colon_aca,colon,2,2
colonca3815,colonca3815.jpeg,colon_aca,colon,2,2
colonca388,colonca388.jpeg,colon_aca,colon,2,2
colonca4,colonca4.jpeg,colon_aca,colon,2,2
colonca4057,colonca4057.jpeg,colon_aca,colon,2,2
colonca4344,colonca4344.jpeg,colon_aca,colon,2,2
colonca4871,colonca4871.jpeg,colon_aca,colon,2,2
colonca4872,colonca4872.jpeg,colon_aca,colon,2,2
colonca502,colonca502.jpeg,colon_aca,colon,2,2
colonca682,colonca682.jpeg,colon_aca,colon,2,2
colonca862,colonca862.jpeg,colon_aca,colon,2,2
colonca974,colonca974.jpeg,colon_aca,colon,2,2
colonca975,colonca975.jpeg,colon_aca,colon,2,2
colonca1412,colonca1412.jpeg,colon_aca,colon,3,3
colonca1413,colonca1413.jpeg,colon_aca,colon,3,3
colonca1522,colonca1522.jpeg,colon_aca,colon,3,3
colonca1597,colonca1597.jpeg,colon_aca,colon,3,3
colonca1598,colonca1598.jpeg,colon_aca,colon,3,3
colonca1661,colonca1661.jpeg,colon_aca,colon,3,3
colonca1891,colonca1891.jpeg,colon_aca,colon,3,3
colonca1954,colonca1954.jpeg,colon_aca,colon,3,3
colonca2134,colonca2134.jpeg,colon_aca,colon,3,3
colonca2305,colonca2305.jpeg,colon_aca,colon,3,3
colonca2369,colonca2369.jpeg,colon_aca,colon,3,3
colonca2483,colonca2483.jpeg,colon_aca,colon,3,3
colonca2843,colonca2843.jpeg,colon_aca,colon,3,3
colonca2844,colonca2844.jpeg,colon_aca,colon,3,3
colonca2897,colonca2897.jpeg,colon_aca,colon,3,3
colonca2898,colonca2898.jpeg,colon_aca,colon,3,3
colonca3075,colonca3075.jpeg,colon_aca,colon,3,3
colonca3135,colonca3135.jpeg,colon_aca,colon,3,3
colonca3184,colonca3184.jpeg,colon_aca,colon,3,3
colonca3246,colonca3246.jpeg,colon_aca,colon,3,3
colonca354,colonca354.jpeg,colon_aca,colon,3,3
colonca3663,colonca3663.jpeg,colon_aca,colon,3,3
